product_url,title,price,currency,listing_type,condition,seller_type,showroom_name,showroom_url,posted_time,fans_count,view_count,description,phones,whatsapps,images,images_count,specifications,images_local_paths,المصنع,الصنف,الموديل,قاطع,اللون,اللون الداخلي,النوع,ناقل السرعة,نظام الدفع,فرش المقاعد,السنة,سلندر,تحديد المواقع,سي دي,كاميرا خلفية,الحساسات,فتحة السقف,تحت الضمان,بلوتوث,وارد,الطلاء الأصلي,نوع الوقود,المالك الأول,تدفئة في المقاعد,تبريد في المقاعد,دي في دي,بانوراما,دخول بدون مفتاح,كاميرا امامية,تدليك في المقاعد,عدد المقاعد,قياس الجنط ( الرنج )
https://qatarsale.com/ar/product/land_rover_range_rover_vogue_hse_2023_black_automatic_suv-604594," لاند روفر  رنج روفر  فوج اتش اس اي  2023  اوتوماتيك  45,000 كم  8 سلندر  دفع رباعي  اس يو في  أسود  تحت الضمان ","438,000",ر.ق,للبيع,,,,,,0,0," بدون حوادث 
وارد الدوحة 
ضمان وصيانه مجانيه الى 2028
دواسات تماتيك
حمايه كامله ",['+974 55736380'],[],"['https://media-blob.qatarsale.com/604594-productimages/604594_0_20260608134513776420.webp', 'https://media-blob.qatarsale.com/604594-productimages/604594_1_20260608134513776689.webp', 'https://media-blob.qatarsale.com/604594-productimages/604594_2_20260608134513776918.webp', 'https://media-blob.qatarsale.com/604594-productimages/604594_3_20260608134513777154.webp', 'https://media-blob.qatarsale.com/604594-productimages/604594_4_20260608134513777471.webp', 'https://media-blob.qatarsale.com/604594-productimages/604594_5_20260608134513777810.webp', 'https://media-blob.qatarsale.com/604594-productimages/604594_6_20260608134513778029.webp']",7,"{'المصنع': 'لاند روفر', 'الصنف': 'رنج روفر', 'الموديل': 'فوج اتش اس اي', 'قاطع': '45,000', 'اللون': 'أسود', 'اللون الداخلي': 'بني', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'وارد': 'الدوحة', 'الطلاء الأصلي': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604594_0_20260608134513776420.webp', 'images/604594_1_20260608134513776689.webp', 'images/604594_2_20260608134513776918.webp', 'images/604594_3_20260608134513777154.webp', 'images/604594_4_20260608134513777471.webp', 'images/604594_5_20260608134513777810.webp', 'images/604594_6_20260608134513778029.webp']",لاند روفر,رنج روفر,فوج اتش اس اي,"45,000",أسود,بني,اس يو في,اوتوماتيك,دفع رباعي,جلد,2023,8,نعم,نعم,نعم,نعم,نعم,نعم,نعم,الدوحة,نعم,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_hilux_2026_white_manual_pick_up-556333," تويوتا  هاي لوكس  2026  عادي  5,000 كم  4 سلندر  دفع خلفي  بيكب  أبيض  تحت الضمان ","85,000",ر.ق,للبيع,,,شركة سهيل للسيارات - مدبنة مواتر,https://qatarsale.com/ar/showroom/suhail_cars_company_119,,0,0,,"['+974 66620206', '+974 70007061', '+974 31163218', '+974 74077377']",[],"['https://media-blob.qatarsale.com/556333-productimages/556333_0_20260517085445599742.webp', 'https://media-blob.qatarsale.com/556333-productimages/556333_1_20260517085445600369.webp', 'https://media-blob.qatarsale.com/556333-productimages/556333_2_20260517085445600854.webp', 'https://media-blob.qatarsale.com/556333-productimages/556333_3_20260517085445601408.webp', 'https://media-blob.qatarsale.com/556333-productimages/556333_4_20260517085445601800.webp', 'https://media-blob.qatarsale.com/556333-productimages/556333_5_20260517085445602153.webp', 'https://media-blob.qatarsale.com/556333-productimages/556333_6_20260517085445602534.webp']",7,"{'المصنع': 'تويوتا', 'الصنف': 'هاي لوكس', 'الموديل': 'عادي', 'قاطع': '5,000', 'اللون': 'أبيض', 'اللون الداخلي': 'أحمر', 'النوع': 'بيكب', 'ناقل السرعة': 'عادي', 'نظام الدفع': 'دفع خلفي', 'فرش المقاعد': 'قماش', 'السنة': '2026', 'سلندر': '4', 'سي دي': 'نعم', 'الحساسات': 'كلا', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'كلا', 'نوع الوقود': 'بنزين'}","['images/556333_0_20260517085445599742.webp', 'images/556333_1_20260517085445600369.webp', 'images/556333_2_20260517085445600854.webp', 'images/556333_3_20260517085445601408.webp', 'images/556333_4_20260517085445601800.webp', 'images/556333_5_20260517085445602153.webp', 'images/556333_6_20260517085445602534.webp']",تويوتا,هاي لوكس,عادي,"5,000",أبيض,أحمر,بيكب,عادي,دفع خلفي,قماش,2026,4,,نعم,,كلا,كلا,نعم,كلا,,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_yaris_2024_white_automatic_sedan-527612," تويوتا  ياريس  2024  اوتوماتيك  56,000 كم  4 سلندر  سحب امامي  سيدان  أبيض ","49,000",ر.ق,للبيع,,,شركة سهيل للسيارات - مدبنة مواتر,https://qatarsale.com/ar/showroom/suhail_cars_company_119,,0,0,,"['+974 66620206', '+974 70007061', '+974 31163218', '+974 74077377']",[],"['https://media-blob.qatarsale.com/527612-productimages/527612_0_20260401101528025947.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_1_20260401101528026411.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_2_20260401101528026708.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_3_20260401101528027240.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_4_20260401101528027728.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_5_20260401101528028126.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_6_20260401101528028428.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_7_20260401101528028750.webp', 'https://media-blob.qatarsale.com/527612-productimages/527612_8_20260401101528029083.webp']",9,"{'المصنع': 'تويوتا', 'الصنف': 'ياريس', 'الموديل': 'عادي', 'قاطع': '56,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'سيدان', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'سحب امامي', 'فرش المقاعد': 'قماش', 'السنة': '2024', 'سلندر': '4', 'سي دي': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'كلا', 'بلوتوث': 'كلا', 'نوع الوقود': 'بنزين'}","['images/527612_0_20260401101528025947.webp', 'images/527612_1_20260401101528026411.webp', 'images/527612_2_20260401101528026708.webp', 'images/527612_3_20260401101528027240.webp', 'images/527612_4_20260401101528027728.webp', 'images/527612_5_20260401101528028126.webp', 'images/527612_6_20260401101528028428.webp', 'images/527612_7_20260401101528028750.webp', 'images/527612_8_20260401101528029083.webp']",تويوتا,ياريس,عادي,"56,000",أبيض,بيج,سيدان,اوتوماتيك,سحب امامي,قماش,2024,4,,نعم,,نعم,كلا,كلا,كلا,,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/volkswagen_t_roc_2023_black_automatic_suv-604687," فوكس واغن  تي- روك  2023  اوتوماتيك  33,900 كم  4 سلندر  سحب امامي  اس يو في  أسود  تحت الضمان ","67,000",ر.ق,للبيع,,,,,,0,0, حماية كاملة / عازل حراري / تأمين شامل  ,['+974 55367244'],[],"['https://media-blob.qatarsale.com/604687-productimages/604687_0_20260608164737097218.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_1_20260608164737097703.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_2_20260608164737098006.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_3_20260608164737098778.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_4_20260608164737099040.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_5_20260608164737099326.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_6_20260608164737099580.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_7_20260608164737099939.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_8_20260608164737100166.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_9_20260608164737100432.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_10_20260608164737100725.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_11_20260608164737100993.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_12_20260608164737101235.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_13_20260608164737101437.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_14_20260608164737101651.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_15_20260608164737101870.webp', 'https://media-blob.qatarsale.com/604687-productimages/604687_16_20260608164737102132.webp']",17,"{'المصنع': 'فوكس واغن', 'الصنف': 'تي- روك', 'الموديل': 'عادي', 'قاطع': '33,900', 'اللون': 'أسود', 'اللون الداخلي': 'أسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'سحب امامي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'وارد': 'الدوحة', 'المالك الأول': 'نعم', 'الطلاء الأصلي': 'نعم', 'تدفئة في المقاعد': 'نعم', 'تبريد في المقاعد': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604687_0_20260608164737097218.webp', 'images/604687_1_20260608164737097703.webp', 'images/604687_2_20260608164737098006.webp', 'images/604687_3_20260608164737098778.webp', 'images/604687_4_20260608164737099040.webp', 'images/604687_5_20260608164737099326.webp', 'images/604687_6_20260608164737099580.webp', 'images/604687_7_20260608164737099939.webp', 'images/604687_8_20260608164737100166.webp', 'images/604687_9_20260608164737100432.webp', 'images/604687_10_20260608164737100725.webp', 'images/604687_11_20260608164737100993.webp', 'images/604687_12_20260608164737101235.webp', 'images/604687_13_20260608164737101437.webp', 'images/604687_14_20260608164737101651.webp', 'images/604687_15_20260608164737101870.webp', 'images/604687_16_20260608164737102132.webp']",فوكس واغن,تي- روك,عادي,"33,900",أسود,أسود,اس يو في,اوتوماتيك,سحب امامي,جلد,2023,4,نعم,نعم,نعم,نعم,كلا,نعم,نعم,الدوحة,نعم,بنزين,نعم,نعم,نعم,,,,,,,
https://qatarsale.com/ar/product/mercedes_benz_g_class_63_amg_2021_gray_automatic_suv-604670," مرسيدس - بنز  جي - كلاس  63 اي ام جي  2021  اوتوماتيك  117,500 كم  8 سلندر  دفع رباعي  اس يو في  رمادي ","485,000",ر.ق,للبيع,,,,,,0,0,,['+974 77727767'],[],"['https://media-blob.qatarsale.com/604670-productimages/604670_0_20260608160351549262.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_1_20260608160351549929.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_2_20260608160351550179.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_3_20260608160351550505.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_4_20260608160351550831.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_5_20260608160351551091.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_6_20260608160351551393.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_7_20260608160351551697.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_8_20260608160351551980.webp']",9,"{'المصنع': 'مرسيدس - بنز', 'الصنف': 'جي - كلاس', 'الموديل': '63 اي ام جي', 'قاطع': '117,500', 'اللون': 'رمادي', 'اللون الداخلي': 'أحمر وأسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2021', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'وارد': 'الدوحة', 'نوع الوقود': 'بنزين'}","['images/604670_0_20260608160351549262.webp', 'images/604670_1_20260608160351549929.webp', 'images/604670_2_20260608160351550179.webp', 'images/604670_3_20260608160351550505.webp', 'images/604670_4_20260608160351550831.webp', 'images/604670_5_20260608160351551091.webp', 'images/604670_6_20260608160351551393.webp', 'images/604670_7_20260608160351551697.webp', 'images/604670_8_20260608160351551980.webp']",مرسيدس - بنز,جي - كلاس,63 اي ام جي,"117,500",رمادي,أحمر وأسود,اس يو في,اوتوماتيك,دفع رباعي,جلد,2021,8,نعم,نعم,نعم,نعم,نعم,كلا,نعم,الدوحة,,بنزين,,,,نعم,,,,,,
https://qatarsale.com/ar/product/land_rover_evoque_r_dynamic_2016_white_automatic_suv-602977," لاند روفر  أيفوك  ار- داينمك  2016  اوتوماتيك  77,000 كم  4 سلندر  دفع رباعي  اس يو في  أبيض ","48,500",ر.ق,للبيع,,,,,,0,0,,['+974 55225096'],[],"['https://media-blob.qatarsale.com/602977-productimages/602977_0_20260606134428534955.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_1_20260606134428535540.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_2_20260606134428535899.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_3_20260606134428536250.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_4_20260606134428536568.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_5_20260606134428536951.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_6_20260606134428537248.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_7_20260606134428537547.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_8_20260606134428537862.webp', 'https://media-blob.qatarsale.com/602977-productimages/602977_9_20260606134428538224.webp']",10,"{'المصنع': 'لاند روفر', 'الصنف': 'أيفوك', 'الموديل': 'ار- داينمك', 'قاطع': '77,000', 'اللون': 'أبيض', 'اللون الداخلي': 'أحمر', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2016', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'نوع الوقود': 'بنزين'}","['images/602977_0_20260606134428534955.webp', 'images/602977_1_20260606134428535540.webp', 'images/602977_2_20260606134428535899.webp', 'images/602977_3_20260606134428536250.webp', 'images/602977_4_20260606134428536568.webp', 'images/602977_5_20260606134428536951.webp', 'images/602977_6_20260606134428537248.webp', 'images/602977_7_20260606134428537547.webp', 'images/602977_8_20260606134428537862.webp', 'images/602977_9_20260606134428538224.webp']",لاند روفر,أيفوك,ار- داينمك,"77,000",أبيض,أحمر,اس يو في,اوتوماتيك,دفع رباعي,جلد,2016,4,نعم,,نعم,نعم,كلا,كلا,نعم,,,بنزين,,,,,نعم,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_gxr_twin_turbo_2022_white_automatic_suv-604385," تويوتا  لاند كروزر  جي اكس ار توين توربو  2022  اوتوماتيك  13,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض ","219,000",ر.ق,للبيع,,,النسيم - مدينة المواتر,https://qatarsale.com/ar/showroom/al_naseem_mawater_city3779,,0,0,,"['+974 70309077', '+974 31431155', '+974 33090550']",[],"['https://media-blob.qatarsale.com/604385-productimages/604385_0_20260608084711207856.webp', 'https://media-blob.qatarsale.com/604385-productimages/604385_1_20260608084711208408.webp', 'https://media-blob.qatarsale.com/604385-productimages/604385_2_20260608084711208716.webp', 'https://media-blob.qatarsale.com/604385-productimages/604385_3_20260608084711209086.webp', 'https://media-blob.qatarsale.com/604385-productimages/604385_4_20260608084711209462.webp', 'https://media-blob.qatarsale.com/604385-productimages/604385_5_20260608084711209767.webp', 'https://media-blob.qatarsale.com/604385-productimages/604385_6_20260608084711210059.webp']",7,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'جي اكس ار توين توربو', 'قاطع': '13,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2022', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604385_0_20260608084711207856.webp', 'images/604385_1_20260608084711208408.webp', 'images/604385_2_20260608084711208716.webp', 'images/604385_3_20260608084711209086.webp', 'images/604385_4_20260608084711209462.webp', 'images/604385_5_20260608084711209767.webp', 'images/604385_6_20260608084711210059.webp']",تويوتا,لاند كروزر,جي اكس ار توين توربو,"13,000",أبيض,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2022,6,نعم,نعم,نعم,نعم,نعم,كلا,نعم,,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_gx_2025_silver_automatic_suv-601562," تويوتا  لاند كروزر  جي اكس  2025  اوتوماتيك  35,000 كم  6 سلندر  دفع رباعي  اس يو في  فضي  تحت الضمان ","215,000",ر.ق,للبيع,,,النسيم - مدينة المواتر,https://qatarsale.com/ar/showroom/al_naseem_mawater_city3779,,0,0,,"['+974 70309077', '+974 31431155', '+974 33090550']",[],"['https://media-blob.qatarsale.com/601562-productimages/601562_0_20260604082410870650.webp', 'https://media-blob.qatarsale.com/601562-productimages/601562_1_20260604082410871361.webp', 'https://media-blob.qatarsale.com/601562-productimages/601562_2_20260604082410871668.webp', 'https://media-blob.qatarsale.com/601562-productimages/601562_3_20260604082410871941.webp', 'https://media-blob.qatarsale.com/601562-productimages/601562_4_20260604082410872337.webp', 'https://media-blob.qatarsale.com/601562-productimages/601562_5_20260604082410872634.webp']",6,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'جي اكس', 'قاطع': '35,000', 'اللون': 'فضي', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2025', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/601562_0_20260604082410870650.webp', 'images/601562_1_20260604082410871361.webp', 'images/601562_2_20260604082410871668.webp', 'images/601562_3_20260604082410871941.webp', 'images/601562_4_20260604082410872337.webp', 'images/601562_5_20260604082410872634.webp']",تويوتا,لاند كروزر,جي اكس,"35,000",فضي,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2025,6,نعم,نعم,نعم,نعم,كلا,نعم,نعم,,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_gxr_twin_turbo_2024_black_automatic_suv-579023," تويوتا  لاند كروزر  جي اكس ار توين توربو  2024  اوتوماتيك  57,000 كم  6 سلندر  دفع رباعي  اس يو في  أسود  تحت الضمان ","233,000",ر.ق,للبيع,,,النسيم - مدينة المواتر,https://qatarsale.com/ar/showroom/al_naseem_mawater_city3779,,0,0,,"['+974 70309077', '+974 31431155', '+974 33090550']",[],"['https://media-blob.qatarsale.com/579023-productimages/579023_0_20260601084804483033.webp', 'https://media-blob.qatarsale.com/579023-productimages/579023_1_20260601084804483522.webp', 'https://media-blob.qatarsale.com/579023-productimages/579023_2_20260601084804483943.webp', 'https://media-blob.qatarsale.com/579023-productimages/579023_3_20260601084804484327.webp', 'https://media-blob.qatarsale.com/579023-productimages/579023_4_20260601084804484628.webp', 'https://media-blob.qatarsale.com/579023-productimages/579023_5_20260601084804484967.webp']",6,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'جي اكس ار توين توربو', 'قاطع': '57,000', 'اللون': 'أسود', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2024', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/579023_0_20260601084804483033.webp', 'images/579023_1_20260601084804483522.webp', 'images/579023_2_20260601084804483943.webp', 'images/579023_3_20260601084804484327.webp', 'images/579023_4_20260601084804484628.webp', 'images/579023_5_20260601084804484967.webp']",تويوتا,لاند كروزر,جي اكس ار توين توربو,"57,000",أسود,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2024,6,نعم,نعم,نعم,نعم,نعم,نعم,نعم,,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/gwm_tank_700_2026_black_automatic_suv-572054," جي دبليو ام  تانك  700  2026  اوتوماتيك  3,000 كم  6 سلندر  دفع رباعي  اس يو في  أسود  تحت الضمان ","240,000",$,للبيع,,,النسيم - مدينة المواتر,https://qatarsale.com/ar/showroom/al_naseem_mawater_city3779,,0,0,,"['+974 70309077', '+974 31431155', '+974 33090550']",[],"['https://media-blob.qatarsale.com/572054-productimages/572054_0_20260524092506136858.webp', 'https://media-blob.qatarsale.com/572054-productimages/572054_1_20260524092506137351.webp', 'https://media-blob.qatarsale.com/572054-productimages/572054_2_20260524092506137683.webp', 'https://media-blob.qatarsale.com/572054-productimages/572054_3_20260524092506137930.webp', 'https://media-blob.qatarsale.com/572054-productimages/572054_4_20260524092506138325.webp', 'https://media-blob.qatarsale.com/572054-productimages/572054_5_20260524092506138696.webp']",6,"{'المصنع': 'جي دبليو ام', 'الصنف': 'تانك', 'الموديل': '700', 'قاطع': '3,000', 'اللون': 'أسود', 'اللون الداخلي': 'أخضر', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2026', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/572054_0_20260524092506136858.webp', 'images/572054_1_20260524092506137351.webp', 'images/572054_2_20260524092506137683.webp', 'images/572054_3_20260524092506137930.webp', 'images/572054_4_20260524092506138325.webp', 'images/572054_5_20260524092506138696.webp']",جي دبليو ام,تانك,700,"3,000",أسود,أخضر,اس يو في,اوتوماتيك,دفع رباعي,جلد,2026,6,نعم,نعم,نعم,نعم,نعم,نعم,نعم,,,بنزين,,,,,,,,,,
