product_url,title,price,currency,listing_type,condition,seller_type,showroom_name,showroom_url,posted_time,fans_count,view_count,description,phones,whatsapps,images,images_count,specifications,images_local_paths,المصنع,الصنف,الموديل,قاطع,اللون,اللون الداخلي,النوع,ناقل السرعة,نظام الدفع,فرش المقاعد,السنة,سلندر,تحديد المواقع,سي دي,دي في دي,كاميرا خلفية,الحساسات,فتحة السقف,تحت الضمان,بلوتوث,وارد,نوع الوقود,بانوراما,دخول بدون مفتاح,كاميرا امامية,الطلاء الأصلي,تدفئة في المقاعد,تبريد في المقاعد,المالك الأول,تدليك في المقاعد,عدد المقاعد,قياس الجنط ( الرنج )
https://qatarsale.com/ar/product/mercedes_benz_g_class_63_amg_2021_gray_automatic_suv-604670,"مرسيدس - بنز  جي - كلاس  63 اي ام جي  2021  اوتوماتيك  117,500 كم  8 سلندر  دفع رباعي  اس يو في  رمادي",485000,رق,للبيع,,شخصي,,,,0,24,,['+974 77727767'],[],"['https://media-blob.qatarsale.com/604670-productimages/604670_0_20260608160351549262.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_1_20260608160351549929.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_2_20260608160351550179.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_3_20260608160351550505.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_4_20260608160351550831.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_5_20260608160351551091.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_6_20260608160351551393.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_7_20260608160351551697.webp', 'https://media-blob.qatarsale.com/604670-productimages/604670_8_20260608160351551980.webp']",9,"{'المصنع': 'مرسيدس - بنز', 'الصنف': 'جي - كلاس', 'الموديل': '63 اي ام جي', 'قاطع': '117,500', 'اللون': 'رمادي', 'اللون الداخلي': 'أحمر وأسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2021', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'وارد': 'الدوحة', 'نوع الوقود': 'بنزين'}","['images/604670_0_20260608160351549262.webp', 'images/604670_1_20260608160351549929.webp', 'images/604670_2_20260608160351550179.webp', 'images/604670_3_20260608160351550505.webp', 'images/604670_4_20260608160351550831.webp', 'images/604670_5_20260608160351551091.webp', 'images/604670_6_20260608160351551393.webp', 'images/604670_7_20260608160351551697.webp', 'images/604670_8_20260608160351551980.webp']",مرسيدس - بنز,جي - كلاس,63 اي ام جي,"117,500",رمادي,أحمر وأسود,اس يو في,اوتوماتيك,دفع رباعي,جلد,2021,8,نعم,نعم,نعم,نعم,نعم,نعم,كلا,نعم,الدوحة,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/mg_zs_2019_black_automatic_suv-605264,"ام جي  زد اس  2019  اوتوماتيك  164,500 كم  4 سلندر  دفع كلي مستمر  اس يو في  أسود",35000,رق,للبيع,,,ديجيتال موتورز,https://qatarsale.com/ar/showroom/digital_motors,قبل 16 دقيقة,0,1,,"['+974 74769990', '+974 30003503']",[],"['https://media-blob.qatarsale.com/605264-productimages/605264_0_20260609081627564805.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_1_20260609081627565269.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_2_20260609081627565570.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_3_20260609081627565874.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_4_20260609081627566135.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_5_20260609081627566328.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_6_20260609081627566572.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_7_20260609081627566780.webp', 'https://media-blob.qatarsale.com/605264-productimages/605264_8_20260609081627567014.webp']",9,"{'المصنع': 'ام جي', 'الصنف': 'زد اس', 'الموديل': 'عادي', 'قاطع': '164,500', 'اللون': 'أسود', 'اللون الداخلي': 'بني', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع كلي مستمر', 'فرش المقاعد': 'جلد', 'السنة': '2019', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/605264_0_20260609081627564805.webp', 'images/605264_1_20260609081627565269.webp', 'images/605264_2_20260609081627565570.webp', 'images/605264_3_20260609081627565874.webp', 'images/605264_4_20260609081627566135.webp', 'images/605264_5_20260609081627566328.webp', 'images/605264_6_20260609081627566572.webp', 'images/605264_7_20260609081627566780.webp', 'images/605264_8_20260609081627567014.webp']",ام جي,زد اس,عادي,"164,500",أسود,بني,اس يو في,اوتوماتيك,دفع كلي مستمر,جلد,2019,4,نعم,,,نعم,نعم,كلا,كلا,نعم,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/mercedes_benz_glb_250_2024_gray_automatic_suv-527202,"مرسيدس - بنز  جي ال بي  250  2024  اوتوماتيك  2,500 كم  4 سلندر  دفع رباعي  اس يو في  رمادي  تحت الضمان",189590,رق,للبيع,,,ناصر بن خالد للسيارات - مرسيدس بنز,https://qatarsale.com/ar/showroom/nbka,قبل 8 دقائق,1,291,,"['+974 44624464', '+974 5013 3926']",[],"['https://media-blob.qatarsale.com/527202-productimages/527202_0_20260331121208731021.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_1_20260331121208731747.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_2_20260331121208733048.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_3_20260331121208733594.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_4_20260331121208733975.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_5_20260331121208734359.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_6_20260331121208734798.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_7_20260331121208735182.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_8_20260331121208735579.webp', 'https://media-blob.qatarsale.com/527202-productimages/527202_9_20260331121208735998.webp']",10,"{'المصنع': 'مرسيدس - بنز', 'الصنف': 'جي ال بي', 'الموديل': '250', 'قاطع': '2,500', 'اللون': 'رمادي', 'اللون الداخلي': 'أحمر وأسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2024', 'سلندر': '4', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'نوع الوقود': 'بنزين'}","['images/527202_0_20260331121208731021.webp', 'images/527202_1_20260331121208731747.webp', 'images/527202_2_20260331121208733048.webp', 'images/527202_3_20260331121208733594.webp', 'images/527202_4_20260331121208733975.webp', 'images/527202_5_20260331121208734359.webp', 'images/527202_6_20260331121208734798.webp', 'images/527202_7_20260331121208735182.webp', 'images/527202_8_20260331121208735579.webp', 'images/527202_9_20260331121208735998.webp']",مرسيدس - بنز,جي ال بي,250,"2,500",رمادي,أحمر وأسود,اس يو في,اوتوماتيك,دفع رباعي,جلد,2024,4,,,,,,نعم,نعم,,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/land_rover_range_rover_velar_r_dynamic_2019_red_automatic_suv-542390,"لاند روفر  رنج روفر  فيلار-ار - داينمك  2019  اوتوماتيك  77,000 كم  4 سلندر  دفع رباعي  اس يو في  أحمر",94000,رق,للبيع,,شخصي,,,,0,55,,['+974 55225096'],[],"['https://media-blob.qatarsale.com/542390-productimages/542390_0_20260503181121017454.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_1_20260503181121018145.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_2_20260503181121018485.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_3_20260503181121018777.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_4_20260503181121018998.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_5_20260503181121019268.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_6_20260503181121019527.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_7_20260503181121019806.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_8_20260503181121020057.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_9_20260503181121020324.webp', 'https://media-blob.qatarsale.com/542390-productimages/542390_10_20260503181121020553.webp']",11,"{'المصنع': 'لاند روفر', 'الصنف': 'رنج روفر', 'الموديل': 'فيلار-ار - داينمك', 'قاطع': '77,000', 'اللون': 'أحمر', 'اللون الداخلي': 'أسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2019', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'وارد': 'الدوحة', 'دخول بدون مفتاح': 'نعم', 'نوع الوقود': 'بنزين'}","['images/542390_0_20260503181121017454.webp', 'images/542390_1_20260503181121018145.webp', 'images/542390_2_20260503181121018485.webp', 'images/542390_3_20260503181121018777.webp', 'images/542390_4_20260503181121018998.webp', 'images/542390_5_20260503181121019268.webp', 'images/542390_6_20260503181121019527.webp', 'images/542390_7_20260503181121019806.webp', 'images/542390_8_20260503181121020057.webp', 'images/542390_9_20260503181121020324.webp', 'images/542390_10_20260503181121020553.webp']",لاند روفر,رنج روفر,فيلار-ار - داينمك,"77,000",أحمر,أسود,اس يو في,اوتوماتيك,دفع رباعي,جلد,2019,4,نعم,,,نعم,نعم,نعم,كلا,نعم,الدوحة,بنزين,نعم,نعم,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_vxr_twin_turbo_2024_white_automatic_suv-605276,"تويوتا  لاند كروزر  في اكس ار توين توربو  2024  اوتوماتيك  26,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض  تحت الضمان",319000,رق,للبيع,,,شركة المعتمد للسيارات,https://qatarsale.com/ar/showroom/al_mutamad_for_cars_13,قبل 3 دقائق,0,1,,"['+974 70133332', '+974 70119000', '+974 70007050', '+974 60005829']",[],"['https://media-blob.qatarsale.com/605276-productimages/605276_0_20260609083909301550.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_1_20260609083909301978.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_2_20260609083909302240.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_3_20260609083909302535.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_4_20260609083909302853.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_5_20260609083909303226.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_6_20260609083909303484.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_7_20260609083909303784.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_8_20260609083909304168.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_9_20260609083909304524.webp', 'https://media-blob.qatarsale.com/605276-productimages/605276_10_20260609083909304840.webp']",11,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'في اكس ار توين توربو', 'قاطع': '26,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2024', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'كاميرا امامية': 'نعم', 'وارد': 'الدوحة', 'الطلاء الأصلي': 'نعم', 'تدفئة في المقاعد': 'نعم', 'تبريد في المقاعد': 'نعم', 'نوع الوقود': 'بنزين'}","['images/605276_0_20260609083909301550.webp', 'images/605276_1_20260609083909301978.webp', 'images/605276_2_20260609083909302240.webp', 'images/605276_3_20260609083909302535.webp', 'images/605276_4_20260609083909302853.webp', 'images/605276_5_20260609083909303226.webp', 'images/605276_6_20260609083909303484.webp', 'images/605276_7_20260609083909303784.webp', 'images/605276_8_20260609083909304168.webp', 'images/605276_9_20260609083909304524.webp', 'images/605276_10_20260609083909304840.webp']",تويوتا,لاند كروزر,في اكس ار توين توربو,"26,000",أبيض,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2024,6,نعم,,نعم,نعم,نعم,نعم,نعم,نعم,الدوحة,بنزين,,,نعم,نعم,نعم,نعم,,,,
https://qatarsale.com/ar/product/gmc_sierra_elevation_2024_gray_automatic_pick_up-546804,"جي ام سي  سييرا  اليفيشن  2024  اوتوماتيك  30,000 كم  8 سلندر  دفع رباعي  بيكب  رمادي  تحت الضمان",169000,رق,للبيع,,,الفيصلية للسيارات - مدينة مواتر,https://qatarsale.com/ar/showroom/al_faisaliah_motors_mawater_city,قبل 7 دقائق,2,366,,"['+974 33334811', '+974 33334874']",[],"['https://media-blob.qatarsale.com/546804-productimages/546804_0_20260512091922020473.webp', 'https://media-blob.qatarsale.com/546804-productimages/546804_1_20260512091922020912.webp', 'https://media-blob.qatarsale.com/546804-productimages/546804_2_20260512091922021228.webp', 'https://media-blob.qatarsale.com/546804-productimages/546804_3_20260512091922021544.webp', 'https://media-blob.qatarsale.com/546804-productimages/546804_4_20260512091922022184.webp', 'https://media-blob.qatarsale.com/546804-productimages/546804_5_20260512091922022459.webp', 'https://media-blob.qatarsale.com/546804-productimages/546804_6_20260512091922022829.webp']",7,"{'المصنع': 'جي ام سي', 'الصنف': 'سييرا', 'الموديل': 'اليفيشن', 'قاطع': '30,000', 'اللون': 'رمادي', 'اللون الداخلي': 'بيج', 'النوع': 'بيكب', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2024', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/546804_0_20260512091922020473.webp', 'images/546804_1_20260512091922020912.webp', 'images/546804_2_20260512091922021228.webp', 'images/546804_3_20260512091922021544.webp', 'images/546804_4_20260512091922022184.webp', 'images/546804_5_20260512091922022459.webp', 'images/546804_6_20260512091922022829.webp']",جي ام سي,سييرا,اليفيشن,"30,000",رمادي,بيج,بيكب,اوتوماتيك,دفع رباعي,قماش,2024,8,نعم,نعم,,نعم,نعم,كلا,نعم,نعم,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/ferrari_296_gtb_2025_red_automatic_coupe_sport-546700,"فيراري  296  جي تي بي  2025  اوتوماتيك  5,000 كم  6 سلندر  دفع كلي مستمر  كوبيه \ سبورت  أحمر  تحت الضمان",945000,رق,للبيع,,شخصي,,,,4,816,"وارد قطر
ضمان وصيانه مجانيه
حمايه + عازل
كاربون فايبر ",['+974 50560666'],[],"['https://media-blob.qatarsale.com/546700-productimages/546700_0_20260512071440136591.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_1_20260512071440137137.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_2_20260512071440137518.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_3_20260512071440137805.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_4_20260512071440138090.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_5_20260512071440138371.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_6_20260512071440138637.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_7_20260512071440138974.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_8_20260512071440139240.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_9_20260512071440139494.webp', 'https://media-blob.qatarsale.com/546700-productimages/546700_10_20260512071440139740.webp']",11,"{'المصنع': 'فيراري', 'الصنف': '296', 'الموديل': 'جي تي بي', 'قاطع': '5,000', 'اللون': 'أحمر', 'اللون الداخلي': 'أحمر', 'النوع': 'كوبيه \\ سبورت', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع كلي مستمر', 'فرش المقاعد': 'جلد', 'السنة': '2025', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'وارد': 'الدوحة', 'نوع الوقود': 'بنزين'}","['images/546700_0_20260512071440136591.webp', 'images/546700_1_20260512071440137137.webp', 'images/546700_2_20260512071440137518.webp', 'images/546700_3_20260512071440137805.webp', 'images/546700_4_20260512071440138090.webp', 'images/546700_5_20260512071440138371.webp', 'images/546700_6_20260512071440138637.webp', 'images/546700_7_20260512071440138974.webp', 'images/546700_8_20260512071440139240.webp', 'images/546700_9_20260512071440139494.webp', 'images/546700_10_20260512071440139740.webp']",فيراري,296,جي تي بي,"5,000",أحمر,أحمر,كوبيه \ سبورت,اوتوماتيك,دفع كلي مستمر,جلد,2025,6,نعم,نعم,,نعم,نعم,كلا,نعم,نعم,الدوحة,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/land_rover_defender_110_2023_black_automatic_suv-605275,"لاند روفر  ديفيندر  110  2023  اوتوماتيك  54,000 كم  4 سلندر  دفع رباعي  اس يو في  أسود  تحت الضمان",221000,رق,للبيع,,,اوكسجين موتورز,https://qatarsale.com/ar/showroom/o2_motors,قبل 4 دقائق,0,1,,"['+974 66000076', '+974 50606078']",[],"['https://media-blob.qatarsale.com/605275-productimages/605275_0_20260609083528463488.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_1_20260609083528463985.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_2_20260609083528464275.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_3_20260609083528464573.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_4_20260609083528464897.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_5_20260609083528465169.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_6_20260609083528465480.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_7_20260609083528465793.webp', 'https://media-blob.qatarsale.com/605275-productimages/605275_8_20260609083528466065.webp']",9,"{'المصنع': 'لاند روفر', 'الصنف': 'ديفيندر', 'الموديل': '110', 'قاطع': '54,000', 'اللون': 'أسود', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'نوع الوقود': 'بنزين'}","['images/605275_0_20260609083528463488.webp', 'images/605275_1_20260609083528463985.webp', 'images/605275_2_20260609083528464275.webp', 'images/605275_3_20260609083528464573.webp', 'images/605275_4_20260609083528464897.webp', 'images/605275_5_20260609083528465169.webp', 'images/605275_6_20260609083528465480.webp', 'images/605275_7_20260609083528465793.webp', 'images/605275_8_20260609083528466065.webp']",لاند روفر,ديفيندر,110,"54,000",أسود,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2023,4,نعم,,,نعم,نعم,نعم,نعم,نعم,,بنزين,نعم,,,,,,,,,
https://qatarsale.com/ar/product/mg_rx_turbo_2023_white_automatic_suv-535565,"ام جي  ار اكس  توربو  2023  اوتوماتيك  92,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض",49000,رق,للبيع,,,اكسبرس موتورز - مدينة المواتر,https://qatarsale.com/ar/showroom/express_motors_mawater_city_62,قبل 4 دقائق,5,552,,"['+974 71020003', '+974  33542000', '+974 77260003', '+974 33042000']",[],"['https://media-blob.qatarsale.com/535565-productimages/535565_0_20260419104206260989.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_1_20260419104206261527.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_2_20260419104206261867.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_3_20260419104206262287.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_4_20260419104206262587.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_5_20260419104206262890.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_6_20260419104206263278.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_7_20260419104206263631.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_8_20260419104206263986.webp', 'https://media-blob.qatarsale.com/535565-productimages/535565_9_20260419104206264373.webp']",10,"{'المصنع': 'ام جي', 'الصنف': 'ار اكس', 'الموديل': 'توربو', 'قاطع': '92,000', 'اللون': 'أبيض', 'اللون الداخلي': 'عنابي', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2023', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/535565_0_20260419104206260989.webp', 'images/535565_1_20260419104206261527.webp', 'images/535565_2_20260419104206261867.webp', 'images/535565_3_20260419104206262287.webp', 'images/535565_4_20260419104206262587.webp', 'images/535565_5_20260419104206262890.webp', 'images/535565_6_20260419104206263278.webp', 'images/535565_7_20260419104206263631.webp', 'images/535565_8_20260419104206263986.webp', 'images/535565_9_20260419104206264373.webp']",ام جي,ار اكس,توربو,"92,000",أبيض,عنابي,اس يو في,اوتوماتيك,دفع رباعي,جلد,2023,6,نعم,نعم,,نعم,نعم,نعم,كلا,نعم,,بنزين,,,,,,,,,,
https://qatarsale.com/ar/product/nissan_patrol_se_2014_white_automatic_suv-605273,"نيسان  باترول  اس اي  2014  اوتوماتيك  171,000 كم  8 سلندر  دفع رباعي  اس يو في  أبيض",50000,رق,للبيع,,,معرض همدان للسيارات- مدينة مواتر,https://qatarsale.com/ar/showroom/hamdan_car_showroom,قبل 9 دقائق,0,0,,"['+974 31666991', '+974 31666992']",[],"['https://media-blob.qatarsale.com/605273-productimages/605273_0_20260609083039957662.webp', 'https://media-blob.qatarsale.com/605273-productimages/605273_1_20260609083039958165.webp', 'https://media-blob.qatarsale.com/605273-productimages/605273_2_20260609083039958505.webp', 'https://media-blob.qatarsale.com/605273-productimages/605273_3_20260609083039958793.webp', 'https://media-blob.qatarsale.com/605273-productimages/605273_4_20260609083039959021.webp', 'https://media-blob.qatarsale.com/605273-productimages/605273_5_20260609083039959277.webp', 'https://media-blob.qatarsale.com/605273-productimages/605273_6_20260609083039959480.webp']",7,"{'المصنع': 'نيسان', 'الصنف': 'باترول', 'الموديل': 'اس اي', 'قاطع': '171,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2014', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/605273_0_20260609083039957662.webp', 'images/605273_1_20260609083039958165.webp', 'images/605273_2_20260609083039958505.webp', 'images/605273_3_20260609083039958793.webp', 'images/605273_4_20260609083039959021.webp', 'images/605273_5_20260609083039959277.webp', 'images/605273_6_20260609083039959480.webp']",نيسان,باترول,اس اي,"171,000",أبيض,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2014,8,نعم,نعم,,نعم,نعم,نعم,كلا,نعم,,بنزين,,,,,,,,,,
