product_url,title,price,currency,listing_type,condition,seller_type,showroom_name,showroom_url,posted_time,fans_count,view_count,description,phones,whatsapps,images,images_count,specifications,images_local_paths,المصنع,الصنف,الموديل,قاطع,اللون,اللون الداخلي,النوع,ناقل السرعة,نظام الدفع,فرش المقاعد,السنة,سلندر,تحديد المواقع,سي دي,كاميرا خلفية,الحساسات,فتحة السقف,تحت الضمان,بلوتوث,نوع الوقود,بانوراما,كاميرا امامية,عدد المقاعد,وارد,المالك الأول,الطلاء الأصلي,دخول بدون مفتاح,دي في دي,تدفئة في المقاعد,تبريد في المقاعد,تدليك في المقاعد,قياس الجنط ( الرنج )
https://qatarsale.com/ar/product/land_rover_evoque_2015_white_automatic_suv-604510," لاند روفر  أيفوك  2015  اوتوماتيك  227,000 كم  4 سلندر  دفع رباعي  اس يو في  أبيض ","22,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/5x_car_mawater_city,,0,0,,"['+974 70500999', '+974 71335144']",[],"['https://media-blob.qatarsale.com/604510-productimages/604510_0_20260608104851849791.webp', 'https://media-blob.qatarsale.com/604510-productimages/604510_1_20260608104851850295.webp', 'https://media-blob.qatarsale.com/604510-productimages/604510_2_20260608104851850630.webp', 'https://media-blob.qatarsale.com/604510-productimages/604510_3_20260608104851851007.webp', 'https://media-blob.qatarsale.com/604510-productimages/604510_4_20260608104851851367.webp', 'https://media-blob.qatarsale.com/604510-productimages/604510_5_20260608104851851701.webp']",6,"{'المصنع': 'لاند روفر', 'الصنف': 'أيفوك', 'الموديل': 'عادي', 'قاطع': '227,000', 'اللون': 'أبيض', 'اللون الداخلي': 'برتقالي', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2015', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604510_0_20260608104851849791.webp', 'images/604510_1_20260608104851850295.webp', 'images/604510_2_20260608104851850630.webp', 'images/604510_3_20260608104851851007.webp', 'images/604510_4_20260608104851851367.webp', 'images/604510_5_20260608104851851701.webp']",لاند روفر,أيفوك,عادي,"227,000",أبيض,برتقالي,اس يو في,اوتوماتيك,دفع رباعي,جلد,2015,4,نعم,نعم,نعم,نعم,نعم,كلا,نعم,بنزين,,,,,,,,,,,,
https://qatarsale.com/ar/product/toyota_land_cruiser_vxr_2011_gold_automatic_suv-604499," تويوتا  لاند كروزر  في اكس ار  2011  اوتوماتيك  430,000 كم  8 سلندر  دفع رباعي  اس يو في  ذهبي ","58,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/wadi_al_sail_mawater_city_103,,0,0,,"['+974 33993310', '+974 33993320']",[],"['https://media-blob.qatarsale.com/604499-productimages/604499_0_20260608103657246843.webp', 'https://media-blob.qatarsale.com/604499-productimages/604499_1_20260608103657247203.webp', 'https://media-blob.qatarsale.com/604499-productimages/604499_2_20260608103657247561.webp', 'https://media-blob.qatarsale.com/604499-productimages/604499_3_20260608103657247857.webp', 'https://media-blob.qatarsale.com/604499-productimages/604499_4_20260608103657248077.webp', 'https://media-blob.qatarsale.com/604499-productimages/604499_5_20260608103657248358.webp']",6,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'في اكس ار', 'قاطع': '430,000', 'اللون': 'ذهبي', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2011', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604499_0_20260608103657246843.webp', 'images/604499_1_20260608103657247203.webp', 'images/604499_2_20260608103657247561.webp', 'images/604499_3_20260608103657247857.webp', 'images/604499_4_20260608103657248077.webp', 'images/604499_5_20260608103657248358.webp']",تويوتا,لاند كروزر,في اكس ار,"430,000",ذهبي,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2011,8,نعم,نعم,نعم,نعم,نعم,كلا,نعم,بنزين,,,,,,,,,,,,
https://qatarsale.com/ar/product/bmw_x_series_x1_2024_blue_automatic_suv-604515," بي ام دبليو  الفئة - اكس  اكس 1  2024  اوتوماتيك  21,900 كم  4 سلندر  دفع رباعي  اس يو في  ازرق  تحت الضمان ","129,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/beverly_hills_motors,,0,0, السيارة بحالة ممتازة مع ضمان ساري المفعول وحزمة صيانة حتى عام 2027 ,"['+974 31188662', '+974 31188661']",[],"['https://media-blob.qatarsale.com/604515-productimages/604515_0_20260608105927293450.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_1_20260608105927293938.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_2_20260608105927294269.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_3_20260608105927294601.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_4_20260608105927294912.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_5_20260608105927295165.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_6_20260608105927295545.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_7_20260608105927295819.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_8_20260608105927296079.webp', 'https://media-blob.qatarsale.com/604515-productimages/604515_9_20260608105927296428.webp']",10,"{'المصنع': 'بي ام دبليو', 'الصنف': 'الفئة - اكس', 'الموديل': 'اكس 1', 'قاطع': '21,900', 'اللون': 'ازرق', 'اللون الداخلي': 'أحمر وأسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2024', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'كاميرا امامية': 'نعم', 'عدد المقاعد': '5', 'وارد': 'الدوحة', 'المالك الأول': 'نعم', 'الطلاء الأصلي': 'نعم', 'دخول بدون مفتاح': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604515_0_20260608105927293450.webp', 'images/604515_1_20260608105927293938.webp', 'images/604515_2_20260608105927294269.webp', 'images/604515_3_20260608105927294601.webp', 'images/604515_4_20260608105927294912.webp', 'images/604515_5_20260608105927295165.webp', 'images/604515_6_20260608105927295545.webp', 'images/604515_7_20260608105927295819.webp', 'images/604515_8_20260608105927296079.webp', 'images/604515_9_20260608105927296428.webp']",بي ام دبليو,الفئة - اكس,اكس 1,"21,900",ازرق,أحمر وأسود,اس يو في,اوتوماتيك,دفع رباعي,جلد,2024,4,نعم,,نعم,نعم,نعم,نعم,نعم,بنزين,نعم,نعم,5,الدوحة,نعم,نعم,نعم,,,,,
https://qatarsale.com/ar/product/nissan_pathfinder_2014_pearl_automatic_suv-604508," نيسان  باثفايندر  2014  اوتوماتيك  173,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض لؤلؤي ","18,000",$,,,,,https://qatarsale.com/ar/showroom/cars_lego_motors,,0,0,,['+974 60002334'],[],"['https://media-blob.qatarsale.com/604508-productimages/604508_0_20260608104443817731.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_1_20260608104443818155.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_2_20260608104443818483.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_3_20260608104443818791.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_4_20260608104443819089.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_5_20260608104443819330.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_6_20260608104443819573.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_7_20260608104443819853.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_8_20260608104443820113.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_9_20260608104443820399.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_10_20260608104443820660.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_11_20260608104443820892.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_12_20260608104443821136.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_13_20260608104443821345.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_14_20260608104443821579.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_15_20260608104443821840.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_16_20260608104443822083.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_17_20260608104443822354.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_18_20260608104443822591.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_19_20260608104443822811.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_20_20260608104443823066.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_21_20260608104443823340.webp', 'https://media-blob.qatarsale.com/604508-productimages/604508_22_20260608104443823594.webp']",23,"{'المصنع': 'نيسان', 'الصنف': 'باثفايندر', 'الموديل': 'عادي', 'قاطع': '173,000', 'اللون': 'أبيض لؤلؤي', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2014', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'كلا', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'عدد المقاعد': '7', 'وارد': 'الدوحة', 'المالك الأول': 'كلا', 'الطلاء الأصلي': 'كلا', 'تدفئة في المقاعد': 'كلا', 'تبريد في المقاعد': 'كلا', 'دخول بدون مفتاح': 'نعم', 'تدليك في المقاعد': 'كلا', 'نوع الوقود': 'بنزين'}","['images/604508_0_20260608104443817731.webp', 'images/604508_1_20260608104443818155.webp', 'images/604508_2_20260608104443818483.webp', 'images/604508_3_20260608104443818791.webp', 'images/604508_4_20260608104443819089.webp', 'images/604508_5_20260608104443819330.webp', 'images/604508_6_20260608104443819573.webp', 'images/604508_7_20260608104443819853.webp', 'images/604508_8_20260608104443820113.webp', 'images/604508_9_20260608104443820399.webp', 'images/604508_10_20260608104443820660.webp', 'images/604508_11_20260608104443820892.webp', 'images/604508_12_20260608104443821136.webp', 'images/604508_13_20260608104443821345.webp', 'images/604508_14_20260608104443821579.webp', 'images/604508_15_20260608104443821840.webp', 'images/604508_16_20260608104443822083.webp', 'images/604508_17_20260608104443822354.webp', 'images/604508_18_20260608104443822591.webp', 'images/604508_19_20260608104443822811.webp', 'images/604508_20_20260608104443823066.webp', 'images/604508_21_20260608104443823340.webp', 'images/604508_22_20260608104443823594.webp']",نيسان,باثفايندر,عادي,"173,000",أبيض لؤلؤي,بيج,اس يو في,اوتوماتيك,دفع رباعي,جلد,2014,6,نعم,نعم,نعم,نعم,نعم,كلا,نعم,بنزين,نعم,,7,الدوحة,كلا,كلا,نعم,كلا,كلا,كلا,كلا,
https://qatarsale.com/ar/product/toyota_land_cruiser_gx_2015_white_automatic_suv-604504," تويوتا  لاند كروزر  جي اكس  2015  اوتوماتيك  370,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض ","52,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/5x_car_mawater_city,,0,0,,"['+974 70500999', '+974 71335144']",[],"['https://media-blob.qatarsale.com/604504-productimages/604504_0_20260608104156057174.webp', 'https://media-blob.qatarsale.com/604504-productimages/604504_1_20260608104156057760.webp', 'https://media-blob.qatarsale.com/604504-productimages/604504_2_20260608104156058100.webp', 'https://media-blob.qatarsale.com/604504-productimages/604504_3_20260608104156058356.webp', 'https://media-blob.qatarsale.com/604504-productimages/604504_4_20260608104156058573.webp', 'https://media-blob.qatarsale.com/604504-productimages/604504_5_20260608104156058796.webp']",6,"{'المصنع': 'تويوتا', 'الصنف': 'لاند كروزر', 'الموديل': 'جي اكس', 'قاطع': '370,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بيج', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2015', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'كلا', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604504_0_20260608104156057174.webp', 'images/604504_1_20260608104156057760.webp', 'images/604504_2_20260608104156058100.webp', 'images/604504_3_20260608104156058356.webp', 'images/604504_4_20260608104156058573.webp', 'images/604504_5_20260608104156058796.webp']",تويوتا,لاند كروزر,جي اكس,"370,000",أبيض,بيج,اس يو في,اوتوماتيك,دفع رباعي,قماش,2015,6,نعم,نعم,نعم,نعم,كلا,كلا,نعم,بنزين,,,,,,,,,,,,
https://qatarsale.com/ar/product/hummer_h3_2009_red_automatic_suv-418780," همر  اتش 3  2009  اوتوماتيك  197,000 كم  5 سلندر  دفع رباعي  اس يو في  أحمر ","19,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/deals_on_wheels,,0,0,,"['+974 33774443', '+974 39944008', '+974 39944007', '+974 39944005']",[],"['https://media-blob.qatarsale.com/418780-productimages/418780_0_20250916121345446708.webp', 'https://media-blob.qatarsale.com/418780-productimages/418780_1_20250916121345446929.webp', 'https://media-blob.qatarsale.com/418780-productimages/418780_2_20250916121345447006.webp', 'https://media-blob.qatarsale.com/418780-productimages/418780_3_20250916121345447076.webp', 'https://media-blob.qatarsale.com/418780-productimages/418780_4_20250916121345447148.webp', 'https://media-blob.qatarsale.com/418780-productimages/418780_5_20250916121345447209.webp', 'https://media-blob.qatarsale.com/418780-productimages/418780_6_20250916121345447270.webp']",7,"{'المصنع': 'همر', 'الصنف': 'اتش 3', 'الموديل': 'عادي', 'قاطع': '197,000', 'اللون': 'أحمر', 'اللون الداخلي': 'أسود', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2009', 'سلندر': '5', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'كلا', 'عدد المقاعد': '5', 'وارد': 'الدوحة', 'قياس الجنط ( الرنج )': '16""', 'نوع الوقود': 'بنزين'}","['images/418780_0_20250916121345446708.webp', 'images/418780_1_20250916121345446929.webp', 'images/418780_2_20250916121345447006.webp', 'images/418780_3_20250916121345447076.webp', 'images/418780_4_20250916121345447148.webp', 'images/418780_5_20250916121345447209.webp', 'images/418780_6_20250916121345447270.webp']",همر,اتش 3,عادي,"197,000",أحمر,أسود,اس يو في,اوتوماتيك,دفع رباعي,جلد,2009,5,,,نعم,نعم,نعم,كلا,كلا,بنزين,,,5,الدوحة,,,,,,,,"16"""
https://qatarsale.com/ar/product/dodge_ram_laramie_2021_silver_automatic_pick_up-604516," دودج  رام  لاراميي  2021  اوتوماتيك  324,000 كم  8 سلندر  دفع رباعي  بيكب  فضي ","87,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/al_nuaimi,,0,0,,"['+974 55141888', '+974 55829164']",[],"['https://media-blob.qatarsale.com/604516-productimages/604516_0_20260608110325018067.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_1_20260608110325018663.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_2_20260608110325019041.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_3_20260608110325019339.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_4_20260608110325019585.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_5_20260608110325019913.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_6_20260608110325020306.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_7_20260608110325020654.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_8_20260608110325020971.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_9_20260608110325021216.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_10_20260608110325021492.webp', 'https://media-blob.qatarsale.com/604516-productimages/604516_11_20260608110325021751.webp']",12,"{'المصنع': 'دودج', 'الصنف': 'رام', 'الموديل': 'لاراميي', 'قاطع': '324,000', 'اللون': 'فضي', 'اللون الداخلي': 'بيج', 'النوع': 'بيكب', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'قماش', 'السنة': '2021', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'كاميرا امامية': 'نعم', 'نوع الوقود': 'بنزين'}","['images/604516_0_20260608110325018067.webp', 'images/604516_1_20260608110325018663.webp', 'images/604516_2_20260608110325019041.webp', 'images/604516_3_20260608110325019339.webp', 'images/604516_4_20260608110325019585.webp', 'images/604516_5_20260608110325019913.webp', 'images/604516_6_20260608110325020306.webp', 'images/604516_7_20260608110325020654.webp', 'images/604516_8_20260608110325020971.webp', 'images/604516_9_20260608110325021216.webp', 'images/604516_10_20260608110325021492.webp', 'images/604516_11_20260608110325021751.webp']",دودج,رام,لاراميي,"324,000",فضي,بيج,بيكب,اوتوماتيك,دفع رباعي,قماش,2021,8,نعم,نعم,نعم,نعم,نعم,كلا,نعم,بنزين,نعم,نعم,,,,,,,,,,
https://qatarsale.com/ar/product/nissan_patrol_platinum_2016_white_automatic_suv-539219," نيسان  باترول  بلاتنيوم  2016  اوتوماتيك  286,000 كم  8 سلندر  دفع رباعي  اس يو في  أبيض ","58,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/u_cars_127,,0,0,,"['+974 77376636', '+974 60000016']",[],"['https://media-blob.qatarsale.com/539219-productimages/539219_0_20260427085116101755.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_1_20260427085116102143.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_2_20260427085116102409.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_3_20260427085116102677.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_4_20260427085116103080.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_5_20260427085116103328.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_6_20260427085116103681.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_7_20260427085116104060.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_8_20260427085116104372.webp', 'https://media-blob.qatarsale.com/539219-productimages/539219_9_20260427085116104689.webp']",10,"{'المصنع': 'نيسان', 'الصنف': 'باترول', 'الموديل': 'بلاتنيوم', 'قاطع': '286,000', 'اللون': 'أبيض', 'اللون الداخلي': 'بني فاتح', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2016', 'سلندر': '8', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'دي في دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'كلا', 'بلوتوث': 'نعم', 'كاميرا امامية': 'نعم', 'عدد المقاعد': '8', 'وارد': 'الدوحة', 'تدفئة في المقاعد': 'نعم', 'تبريد في المقاعد': 'نعم', 'دخول بدون مفتاح': 'نعم', 'نوع الوقود': 'بنزين'}","['images/539219_0_20260427085116101755.webp', 'images/539219_1_20260427085116102143.webp', 'images/539219_2_20260427085116102409.webp', 'images/539219_3_20260427085116102677.webp', 'images/539219_4_20260427085116103080.webp', 'images/539219_5_20260427085116103328.webp', 'images/539219_6_20260427085116103681.webp', 'images/539219_7_20260427085116104060.webp', 'images/539219_8_20260427085116104372.webp', 'images/539219_9_20260427085116104689.webp']",نيسان,باترول,بلاتنيوم,"286,000",أبيض,بني فاتح,اس يو في,اوتوماتيك,دفع رباعي,جلد,2016,8,نعم,نعم,نعم,نعم,نعم,كلا,نعم,بنزين,,نعم,8,الدوحة,,,نعم,نعم,نعم,نعم,,
https://qatarsale.com/ar/product/jetour_t2_luxury_2025_gray_matte_automatic_suv-545655," جيتور  تي 2  لكجري  2025  اوتوماتيك  54,000 كم  4 سلندر  دفع رباعي  اس يو في  رمادي مطفي  تحت الضمان ","90,000",ر.ق,,,,,https://qatarsale.com/ar/showroom/u_cars_127,,0,0,,"['+974 77376636', '+974 60000016']",[],"['https://media-blob.qatarsale.com/545655-productimages/545655_0_20260510082849051879.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_1_20260510082849053155.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_2_20260510082849053656.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_3_20260510082849054057.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_4_20260510082849054386.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_5_20260510082849054782.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_6_20260510082849055193.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_7_20260510082849055530.webp', 'https://media-blob.qatarsale.com/545655-productimages/545655_8_20260510082849055911.webp']",9,"{'المصنع': 'جيتور', 'الصنف': 'تي 2', 'الموديل': 'لكجري', 'قاطع': '54,000', 'اللون': 'رمادي مطفي', 'اللون الداخلي': 'أخضر', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2025', 'سلندر': '4', 'تحديد المواقع': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'بانوراما': 'نعم', 'كاميرا امامية': 'نعم', 'عدد المقاعد': '5', 'وارد': 'الدوحة', 'الطلاء الأصلي': 'نعم', 'دخول بدون مفتاح': 'نعم', 'نوع الوقود': 'بنزين'}","['images/545655_0_20260510082849051879.webp', 'images/545655_1_20260510082849053155.webp', 'images/545655_2_20260510082849053656.webp', 'images/545655_3_20260510082849054057.webp', 'images/545655_4_20260510082849054386.webp', 'images/545655_5_20260510082849054782.webp', 'images/545655_6_20260510082849055193.webp', 'images/545655_7_20260510082849055530.webp', 'images/545655_8_20260510082849055911.webp']",جيتور,تي 2,لكجري,"54,000",رمادي مطفي,أخضر,اس يو في,اوتوماتيك,دفع رباعي,جلد,2025,4,نعم,,نعم,نعم,نعم,نعم,نعم,بنزين,نعم,نعم,5,الدوحة,,نعم,نعم,,,,,
https://qatarsale.com/ar/product/bmw_x_series_x5_m40i_2025_white_automatic_suv-604523," بي ام دبليو  الفئة - اكس  أكس 5 أم 40 أي  2025  اوتوماتيك  19,000 كم  6 سلندر  دفع رباعي  اس يو في  أبيض  تحت الضمان ","269,000",$,,,,,https://qatarsale.com/ar/showroom/al_marwa,,0,0," كاميرات 
سقف بانوراما 
من داخل جلد اوف وايت ","['+974 70000936', '+974  55479000', '+974 60003612']",[],"['https://media-blob.qatarsale.com/604523-productimages/604523_0_20260608111427612318.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_1_20260608111427613350.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_2_20260608111427613751.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_3_20260608111427614179.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_4_20260608111427614582.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_5_20260608111427614920.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_6_20260608111427615246.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_7_20260608111427615617.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_8_20260608111427616002.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_9_20260608111427616565.webp', 'https://media-blob.qatarsale.com/604523-productimages/604523_10_20260608111427616993.webp']",11,"{'المصنع': 'بي ام دبليو', 'الصنف': 'الفئة - اكس', 'الموديل': 'أكس 5 أم 40 أي', 'قاطع': '19,000', 'اللون': 'أبيض', 'اللون الداخلي': 'سكري', 'النوع': 'اس يو في', 'ناقل السرعة': 'اوتوماتيك', 'نظام الدفع': 'دفع رباعي', 'فرش المقاعد': 'جلد', 'السنة': '2025', 'سلندر': '6', 'تحديد المواقع': 'نعم', 'سي دي': 'نعم', 'كاميرا خلفية': 'نعم', 'الحساسات': 'نعم', 'فتحة السقف': 'نعم', 'تحت الضمان': 'نعم', 'بلوتوث': 'نعم', 'وارد': 'الدوحة', 'نوع الوقود': 'بنزين'}","['images/604523_0_20260608111427612318.webp', 'images/604523_1_20260608111427613350.webp', 'images/604523_2_20260608111427613751.webp', 'images/604523_3_20260608111427614179.webp', 'images/604523_4_20260608111427614582.webp', 'images/604523_5_20260608111427614920.webp', 'images/604523_6_20260608111427615246.webp', 'images/604523_7_20260608111427615617.webp', 'images/604523_8_20260608111427616002.webp', 'images/604523_9_20260608111427616565.webp', 'images/604523_10_20260608111427616993.webp']",بي ام دبليو,الفئة - اكس,أكس 5 أم 40 أي,"19,000",أبيض,سكري,اس يو في,اوتوماتيك,دفع رباعي,جلد,2025,6,نعم,نعم,نعم,نعم,نعم,نعم,نعم,بنزين,,,,الدوحة,,,,,,,,
